(14,) 0.0
(25,) 0.0
(27,) 0.0
(33,) 0.0
(34,) 0.0
(39,) 0.0
(36,) 0.0
(41,) 0.0
(38,) 0.0
(40,) 0.0
(14, 33, 39, 41) 0.0
(14, 33, 39, 38) 0.0
(14, 33, 39, 40) 0.0
(14, 33, 36, 41) 0.0
(14, 33, 36, 38) 0.0
(14, 33, 36, 40) 0.0
(14, 33, 41, 38) 0.0
(14, 33, 41, 40) 0.0
(14, 33, 38, 40) 0.0
(14, 34, 39, 36) 0.0
(14, 34, 39, 41) 0.0
(14, 34, 39, 38) 0.0
(14, 34, 39, 40) 0.0
(14, 34, 36, 41) 0.0
(14, 34, 36, 38) 0.0
(14, 34, 36, 40) 0.0
(14, 34, 41, 38) 0.0
(14, 34, 41, 40) 0.0
(14, 34, 38, 40) 0.0
(14, 39, 36, 41) 0.0
(14, 39, 36, 38) 0.0
(14, 39, 36, 40) 0.0
(14, 39, 41, 38) 0.0
(14, 39, 41, 40) 0.0
(14, 39, 38, 40) 0.0
(14, 36, 41, 38) 0.0
(14, 36, 41, 40) 0.0
(14, 36, 38, 40) 0.0
(14, 41, 38, 40) 0.0
(25, 27, 33, 34) 0.0
(25, 27, 33, 39) 0.0
(25, 27, 33, 36) 0.0
(25, 27, 33, 41) 0.0
(25, 27, 33, 38) 0.0
(25, 27, 33, 40) 0.0
(25, 27, 34, 39) 0.0
(25, 27, 34, 36) 0.0
(25, 27, 34, 41) 0.0
(25, 27, 34, 38) 0.0
(25, 27, 34, 40) 0.0
(25, 27, 39, 36) 0.0
(25, 27, 39, 41) 0.0
(25, 27, 39, 38) 0.0
(25, 27, 39, 40) 0.0
(25, 27, 36, 41) 0.0
(25, 27, 36, 38) 0.0
(25, 27, 36, 40) 0.0
(25, 27, 41, 38) 0.0
(25, 27, 41, 40) 0.0
(25, 27, 38, 40) 0.0
(25, 33, 34, 39) 0.0
(25, 33, 34, 36) 0.0
(25, 33, 34, 41) 0.0
(25, 33, 34, 38) 0.0
(25, 33, 34, 40) 0.0
(25, 33, 39, 36) 0.0
(25, 33, 39, 41) 0.0
(25, 33, 39, 38) 0.0
(25, 33, 39, 40) 0.0
(25, 33, 36, 41) 0.0
(25, 33, 36, 38) 0.0
(25, 33, 36, 40) 0.0
(25, 33, 41, 38) 0.0
(25, 33, 41, 40) 0.0
(25, 33, 38, 40) 0.0
(25, 34, 39, 36) 0.0
(25, 34, 39, 41) 0.0
(25, 34, 39, 38) 0.0
(25, 34, 39, 40) 0.0
(25, 34, 36, 41) 0.0
(25, 34, 36, 38) 0.0
(25, 34, 36, 40) 0.0
(25, 34, 41, 38) 0.0
(25, 34, 41, 40) 0.0
(25, 34, 38, 40) 0.0
(25, 39, 36, 41) 0.0
(25, 39, 36, 38) 0.0
(25, 39, 36, 40) 0.0
(25, 39, 41, 38) 0.0
(25, 39, 41, 40) 0.0
(25, 39, 38, 40) 0.0
(25, 36, 41, 38) 0.0
(25, 36, 41, 40) 0.0
(25, 36, 38, 40) 0.0
(25, 41, 38, 40) 0.0
(27, 33, 34, 39) 0.0
(27, 33, 34, 36) 0.0
(27, 33, 34, 41) 0.0
(27, 33, 34, 38) 0.0
(27, 33, 34, 40) 0.0
(27, 33, 39, 36) 0.0
(27, 33, 39, 41) 0.0
(27, 33, 39, 38) 0.0
(27, 33, 39, 40) 0.0
(27, 33, 36, 41) 0.0
(27, 33, 36, 38) 0.0
(27, 33, 36, 40) 0.0
(27, 33, 41, 38) 0.0
(27, 33, 41, 40) 0.0
(27, 33, 38, 40) 0.0
(27, 34, 39, 36) 0.0
(27, 34, 39, 41) 0.0
(27, 34, 39, 38) 0.0
(27, 34, 39, 40) 0.0
(27, 34, 36, 41) 0.0
(27, 34, 36, 38) 0.0
(27, 34, 36, 40) 0.0
(27, 34, 41, 38) 0.0
(27, 34, 41, 40) 0.0
(27, 34, 38, 40) 0.0
(27, 39, 36, 41) 0.0
(27, 39, 36, 38) 0.0
(27, 39, 36, 40) 0.0
(27, 39, 41, 38) 0.0
(27, 39, 41, 40) 0.0
(27, 39, 38, 40) 0.0
(27, 36, 41, 38) 0.0
(27, 36, 41, 40) 0.0
(27, 36, 38, 40) 0.0
(27, 41, 38, 40) 0.0
(33, 34, 39, 36) 0.0
(33, 34, 39, 41) 0.0
(33, 34, 39, 38) 0.0
(33, 34, 39, 40) 0.0
(33, 34, 36, 41) 0.0
(33, 34, 36, 38) 0.0
(33, 34, 36, 40) 0.0
(33, 34, 41, 38) 0.0
(33, 34, 41, 40) 0.0
(33, 34, 38, 40) 0.0
(33, 39, 36, 41) 0.0
(33, 39, 36, 38) 0.0
(33, 39, 36, 40) 0.0
(33, 39, 41, 38) 0.0
(33, 39, 41, 40) 0.0
(33, 39, 38, 40) 0.0
(33, 36, 41, 38) 0.0
(33, 36, 41, 40) 0.0
(33, 36, 38, 40) 0.0
(33, 41, 38, 40) 0.0
(34, 39, 36, 41) 0.0
(34, 39, 36, 38) 0.0
(34, 39, 36, 40) 0.0
(34, 39, 41, 38) 0.0
(34, 39, 41, 40) 0.0
(34, 39, 38, 40) 0.0
(34, 36, 41, 38) 0.0
(34, 36, 41, 40) 0.0
(34, 36, 38, 40) 0.0
(34, 41, 38, 40) 0.0
(39, 36, 41, 38) 0.0
(39, 36, 41, 40) 0.0
(39, 36, 38, 40) 0.0
(39, 41, 38, 40) 0.0
(36, 41, 38, 40) 0.0
(14, 25, 27, 33, 34) 0.0
(14, 25, 27, 33, 39) 0.0
(14, 25, 27, 33, 36) 0.0
(14, 25, 27, 33, 41) 0.0
(14, 25, 27, 33, 38) 0.0
(14, 25, 27, 33, 40) 0.0
(14, 25, 27, 34, 39) 0.0
(14, 25, 27, 34, 36) 0.0
(14, 25, 27, 34, 41) 0.0
(14, 25, 27, 34, 38) 0.0
(14, 25, 27, 34, 40) 0.0
(14, 25, 27, 39, 36) 0.0
(14, 25, 27, 39, 41) 0.0
(14, 25, 27, 39, 38) 0.0
(14, 25, 27, 39, 40) 0.0
(14, 25, 27, 36, 41) 0.0
(14, 25, 27, 36, 38) 0.0
(14, 25, 27, 36, 40) 0.0
(14, 25, 27, 41, 38) 0.0
(14, 25, 27, 41, 40) 0.0
(14, 25, 27, 38, 40) 0.0
(14, 25, 33, 34, 39) 0.0
(14, 25, 33, 34, 36) 0.0
(14, 25, 33, 34, 41) 0.0
(14, 25, 33, 34, 38) 0.0
(14, 25, 33, 34, 40) 0.0
(14, 25, 33, 39, 36) 0.0
(14, 25, 33, 39, 41) 0.0
(14, 25, 33, 39, 38) 0.0
(14, 25, 33, 39, 40) 0.0
(14, 25, 33, 36, 41) 0.0
(14, 25, 33, 36, 38) 0.0
(14, 25, 33, 36, 40) 0.0
(14, 25, 33, 41, 38) 0.0
(14, 25, 33, 41, 40) 0.0
(14, 25, 33, 38, 40) 0.0
(14, 25, 34, 39, 36) 0.0
(14, 25, 34, 39, 41) 0.0
(14, 25, 34, 39, 38) 0.0
(14, 25, 34, 39, 40) 0.0
(14, 25, 34, 36, 41) 0.0
(14, 25, 34, 36, 38) 0.0
(14, 25, 34, 36, 40) 0.0
(14, 25, 34, 41, 38) 0.0
(14, 25, 34, 41, 40) 0.0
(14, 25, 34, 38, 40) 0.0
(14, 25, 39, 36, 41) 0.0
(14, 25, 39, 36, 38) 0.0
(14, 25, 39, 36, 40) 0.0
(14, 25, 39, 41, 38) 0.0
(14, 25, 39, 41, 40) 0.0
(14, 25, 39, 38, 40) 0.0
(14, 25, 36, 41, 38) 0.0
(14, 25, 36, 41, 40) 0.0
(14, 25, 36, 38, 40) 0.0
(14, 25, 41, 38, 40) 0.0
(14, 27, 33, 34, 39) 0.0
(14, 27, 33, 34, 36) 0.0
(14, 27, 33, 34, 41) 0.0
(14, 27, 33, 34, 38) 0.0
(14, 27, 33, 34, 40) 0.0
(14, 27, 33, 39, 36) 0.0
(14, 27, 33, 39, 41) 0.0
(14, 27, 33, 39, 38) 0.0
(14, 27, 33, 39, 40) 0.0
(14, 27, 33, 36, 41) 0.0
(14, 27, 33, 36, 38) 0.0
(14, 27, 33, 36, 40) 0.0
(14, 27, 33, 41, 38) 0.0
(14, 27, 33, 41, 40) 0.0
(14, 27, 33, 38, 40) 0.0
(14, 27, 34, 39, 36) 0.0
(14, 27, 34, 39, 41) 0.0
(14, 27, 34, 39, 38) 0.0
(14, 27, 34, 39, 40) 0.0
(14, 27, 34, 36, 41) 0.0
(14, 27, 34, 36, 38) 0.0
(14, 27, 34, 36, 40) 0.0
(14, 27, 34, 41, 38) 0.0
(14, 27, 34, 41, 40) 0.0
(14, 27, 34, 38, 40) 0.0
(14, 27, 39, 36, 41) 0.0
(14, 27, 39, 36, 38) 0.0
(14, 27, 39, 36, 40) 0.0
(14, 27, 39, 41, 38) 0.0
(14, 27, 39, 41, 40) 0.0
(14, 27, 39, 38, 40) 0.0
(14, 27, 36, 41, 38) 0.0
(14, 27, 36, 41, 40) 0.0
(14, 27, 36, 38, 40) 0.0
(14, 27, 41, 38, 40) 0.0
(14, 33, 34, 39, 36) 0.0
(14, 33, 34, 39, 41) 0.0
(14, 33, 34, 39, 38) 0.0
(14, 33, 34, 39, 40) 0.0
(14, 33, 34, 36, 41) 0.0
(14, 33, 34, 36, 38) 0.0
(14, 33, 34, 36, 40) 0.0
(14, 33, 34, 41, 38) 0.0
(14, 33, 34, 41, 40) 0.0
(14, 33, 34, 38, 40) 0.0
(14, 33, 39, 36, 41) 0.0
(14, 33, 39, 36, 38) 0.0
(14, 33, 39, 36, 40) 0.0
(14, 33, 39, 41, 38) 0.0
(14, 33, 39, 41, 40) 0.0
(14, 33, 39, 38, 40) 0.0
(14, 33, 36, 41, 38) 0.0
(14, 33, 36, 41, 40) 0.0
(14, 33, 36, 38, 40) 0.0
(14, 33, 41, 38, 40) 0.0
(14, 34, 39, 36, 41) 0.0
(14, 34, 39, 36, 38) 0.0
(14, 34, 39, 36, 40) 0.0
(14, 34, 39, 41, 38) 0.0
(14, 34, 39, 41, 40) 0.0
(14, 34, 39, 38, 40) 0.0
(14, 34, 36, 41, 38) 0.0
(14, 34, 36, 41, 40) 0.0
(14, 34, 36, 38, 40) 0.0
(14, 34, 41, 38, 40) 0.0
(14, 39, 36, 41, 38) 0.0
(14, 39, 36, 41, 40) 0.0
(14, 39, 36, 38, 40) 0.0
(14, 39, 41, 38, 40) 0.0
(14, 36, 41, 38, 40) 0.0
(25, 27, 33, 34, 39) 0.0
(25, 27, 33, 34, 36) 0.0
(25, 27, 33, 34, 41) 0.0
(25, 27, 33, 34, 38) 0.0
(25, 27, 33, 34, 40) 0.0
(25, 27, 33, 39, 36) 0.0
(25, 27, 33, 39, 41) 0.0
(25, 27, 33, 39, 38) 0.0
(25, 27, 33, 39, 40) 0.0
(25, 27, 33, 36, 41) 0.0
(25, 27, 33, 36, 38) 0.0
(25, 27, 33, 36, 40) 0.0
(25, 27, 33, 41, 38) 0.0
(25, 27, 33, 41, 40) 0.0
(25, 27, 33, 38, 40) 0.0
(25, 27, 34, 39, 36) 0.0
(25, 27, 34, 39, 41) 0.0
(25, 27, 34, 39, 38) 0.0
(25, 27, 34, 39, 40) 0.0
(25, 27, 34, 36, 41) 0.0
(25, 27, 34, 36, 38) 0.0
(25, 27, 34, 36, 40) 0.0
(25, 27, 34, 41, 38) 0.0
(25, 27, 34, 41, 40) 0.0
(25, 27, 34, 38, 40) 0.0
(25, 27, 39, 36, 41) 0.0
(25, 27, 39, 36, 38) 0.0
(25, 27, 39, 36, 40) 0.0
(25, 27, 39, 41, 38) 0.0
(25, 27, 39, 41, 40) 0.0
(25, 27, 39, 38, 40) 0.0
(25, 27, 36, 41, 38) 0.0
(25, 27, 36, 41, 40) 0.0
(25, 27, 36, 38, 40) 0.0
(25, 27, 41, 38, 40) 0.0
(25, 33, 34, 39, 36) 0.0
(25, 33, 34, 39, 41) 0.0
(25, 33, 34, 39, 38) 0.0
(25, 33, 34, 39, 40) 0.0
(25, 33, 34, 36, 41) 0.0
(25, 33, 34, 36, 38) 0.0
(25, 33, 34, 36, 40) 0.0
(25, 33, 34, 41, 38) 0.0
(25, 33, 34, 41, 40) 0.0
(25, 33, 34, 38, 40) 0.0
(25, 33, 39, 36, 41) 0.0
(25, 33, 39, 36, 38) 0.0
(25, 33, 39, 36, 40) 0.0
(25, 33, 39, 41, 38) 0.0
(25, 33, 39, 41, 40) 0.0
(25, 33, 39, 38, 40) 0.0
(25, 33, 36, 41, 38) 0.0
(25, 33, 36, 41, 40) 0.0
(25, 33, 36, 38, 40) 0.0
(25, 33, 41, 38, 40) 0.0
(25, 34, 39, 36, 41) 0.0
(25, 34, 39, 36, 38) 0.0
(25, 34, 39, 36, 40) 0.0
(25, 34, 39, 41, 38) 0.0
(25, 34, 39, 41, 40) 0.0
(25, 34, 39, 38, 40) 0.0
(25, 34, 36, 41, 38) 0.0
(25, 34, 36, 41, 40) 0.0
(25, 34, 36, 38, 40) 0.0
(25, 34, 41, 38, 40) 0.0
(25, 39, 36, 41, 38) 0.0
(25, 39, 36, 41, 40) 0.0
(25, 39, 36, 38, 40) 0.0
(25, 39, 41, 38, 40) 0.0
(25, 36, 41, 38, 40) 0.0
(27, 33, 34, 39, 36) 0.0
(27, 33, 34, 39, 41) 0.0
(27, 33, 34, 39, 38) 0.0
(27, 33, 34, 39, 40) 0.0
(27, 33, 34, 36, 41) 0.0
(27, 33, 34, 36, 38) 0.0
(27, 33, 34, 36, 40) 0.0
(27, 33, 34, 41, 38) 0.0
(27, 33, 34, 41, 40) 0.0
(27, 33, 34, 38, 40) 0.0
(27, 33, 39, 36, 41) 0.0
(27, 33, 39, 36, 38) 0.0
(27, 33, 39, 36, 40) 0.0
(27, 33, 39, 41, 38) 0.0
(27, 33, 39, 41, 40) 0.0
(27, 33, 39, 38, 40) 0.0
(27, 33, 36, 41, 38) 0.0
(27, 33, 36, 41, 40) 0.0
(27, 33, 36, 38, 40) 0.0
(27, 33, 41, 38, 40) 0.0
(27, 34, 39, 36, 41) 0.0
(27, 34, 39, 36, 38) 0.0
(27, 34, 39, 36, 40) 0.0
(27, 34, 39, 41, 38) 0.0
(27, 34, 39, 41, 40) 0.0
(27, 34, 39, 38, 40) 0.0
(27, 34, 36, 41, 38) 0.0
(27, 34, 36, 41, 40) 0.0
(27, 34, 36, 38, 40) 0.0
(27, 34, 41, 38, 40) 0.0
(27, 39, 36, 41, 38) 0.0
(27, 39, 36, 41, 40) 0.0
(27, 39, 36, 38, 40) 0.0
(27, 39, 41, 38, 40) 0.0
(27, 36, 41, 38, 40) 0.0
(33, 34, 39, 36, 41) 0.0
(33, 34, 39, 36, 38) 0.0
(33, 34, 39, 36, 40) 0.0
(33, 34, 39, 41, 38) 0.0
(33, 34, 39, 41, 40) 0.0
(33, 34, 39, 38, 40) 0.0
(33, 34, 36, 41, 38) 0.0
(33, 34, 36, 41, 40) 0.0
(33, 34, 36, 38, 40) 0.0
(33, 34, 41, 38, 40) 0.0
(33, 39, 36, 41, 38) 0.0
(33, 39, 36, 41, 40) 0.0
(33, 39, 36, 38, 40) 0.0
(33, 39, 41, 38, 40) 0.0
(33, 36, 41, 38, 40) 0.0
(34, 39, 36, 41, 38) 0.0
(34, 39, 36, 41, 40) 0.0
(34, 39, 36, 38, 40) 0.0
(34, 39, 41, 38, 40) 0.0
(34, 36, 41, 38, 40) 0.0
(39, 36, 41, 38, 40) 0.0
(14, 25, 27, 33, 34, 39) 0.0
(14, 25, 27, 33, 34, 36) 0.0
(14, 25, 27, 33, 34, 41) 0.0
(14, 25, 27, 33, 34, 38) 0.0
(14, 25, 27, 33, 34, 40) 0.0
(14, 25, 27, 33, 39, 36) 0.0
(14, 25, 27, 33, 39, 41) 0.0
(14, 25, 27, 33, 39, 38) 0.0
(14, 25, 27, 33, 39, 40) 0.0
(14, 25, 27, 33, 36, 41) 0.0
(14, 25, 27, 33, 36, 38) 0.0
(14, 25, 27, 33, 36, 40) 0.0
(14, 25, 27, 33, 41, 38) 0.0
(14, 25, 27, 33, 41, 40) 0.0
(14, 25, 27, 33, 38, 40) 0.0
(14, 25, 27, 34, 39, 36) 0.0
(14, 25, 27, 34, 39, 41) 0.0
(14, 25, 27, 34, 39, 38) 0.0
(14, 25, 27, 34, 39, 40) 0.0
(14, 25, 27, 34, 36, 41) 0.0
(14, 25, 27, 34, 36, 38) 0.0
(14, 25, 27, 34, 36, 40) 0.0
(14, 25, 27, 34, 41, 38) 0.0
(14, 25, 27, 34, 41, 40) 0.0
(14, 25, 27, 34, 38, 40) 0.0
(14, 25, 27, 39, 36, 41) 0.0
(14, 25, 27, 39, 36, 38) 0.0
(14, 25, 27, 39, 36, 40) 0.0
(14, 25, 27, 39, 41, 38) 0.0
(14, 25, 27, 39, 41, 40) 0.0
(14, 25, 27, 39, 38, 40) 0.0
(14, 25, 27, 36, 41, 38) 0.0
(14, 25, 27, 36, 41, 40) 0.0
(14, 25, 27, 36, 38, 40) 0.0
(14, 25, 27, 41, 38, 40) 0.0
(14, 25, 33, 34, 39, 36) 0.0
(14, 25, 33, 34, 39, 41) 0.0
(14, 25, 33, 34, 39, 38) 0.0
(14, 25, 33, 34, 39, 40) 0.0
(14, 25, 33, 34, 36, 41) 0.0
(14, 25, 33, 34, 36, 38) 0.0
(14, 25, 33, 34, 36, 40) 0.0
(14, 25, 33, 34, 41, 38) 0.0
(14, 25, 33, 34, 41, 40) 0.0
(14, 25, 33, 34, 38, 40) 0.0
(14, 25, 33, 39, 36, 41) 0.0
(14, 25, 33, 39, 36, 38) 0.0
(14, 25, 33, 39, 36, 40) 0.0
(14, 25, 33, 39, 41, 38) 0.0
(14, 25, 33, 39, 41, 40) 0.0
(14, 25, 33, 39, 38, 40) 0.0
(14, 25, 33, 36, 41, 38) 0.0
(14, 25, 33, 36, 41, 40) 0.0
(14, 25, 33, 36, 38, 40) 0.0
(14, 25, 33, 41, 38, 40) 0.0
(14, 25, 34, 39, 36, 41) 0.0
(14, 25, 34, 39, 36, 38) 0.0
(14, 25, 34, 39, 36, 40) 0.0
(14, 25, 34, 39, 41, 38) 0.0
(14, 25, 34, 39, 41, 40) 0.0
(14, 25, 34, 39, 38, 40) 0.0
(14, 25, 34, 36, 41, 38) 0.0
(14, 25, 34, 36, 41, 40) 0.0
(14, 25, 34, 36, 38, 40) 0.0
